,Title,Artist,URL
137,Byob,System Of A Down,https://tabs.ultimate-guitar.com/tab/system-of-a-down/byob-guitar-pro-320826
138,The Unforgiven,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-guitar-pro-243808
139,Wherever I May Roam,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/wherever-i-may-roam-guitar-pro-225583
140,Holiday,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/holiday-guitar-pro-281523
141,Before I Forget,Slipknot,https://tabs.ultimate-guitar.com/tab/slipknot/before-i-forget-guitar-pro-231626
142,Glasgow Kiss,John Petrucci,https://tabs.ultimate-guitar.com/tab/john-petrucci/glasgow-kiss-guitar-pro-394305
143,Purple Haze,Jimi Hendrix,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/purple-haze-guitar-pro-221189
144,The Final Countdown,Europe,https://tabs.ultimate-guitar.com/tab/europe/the-final-countdown-guitar-pro-218989
145,Für Elise,Ludwig van Beethoven,https://tabs.ultimate-guitar.com/tab/436870
146,Paradise City,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/paradise-city-guitar-pro-835519
147,Duality,Slipknot,https://tabs.ultimate-guitar.com/tab/slipknot/duality-guitar-pro-253017
148,Scream Aim Fire,Bullet For My Valentine,https://tabs.ultimate-guitar.com/tab/bullet-for-my-valentine/scream-aim-fire-guitar-pro-643140
149,Im Yours,Jason Mraz,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-guitar-pro-732846
150,La Grange,ZZ Top,https://tabs.ultimate-guitar.com/tab/zz-top/la-grange-guitar-pro-235250
151,Sex On Fire,Kings of Leon,https://tabs.ultimate-guitar.com/tab/kings-of-leon/sex-on-fire-guitar-pro-768459
152,Fade To Black,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/fade-to-black-guitar-pro-225361
153,The Unforgiven,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-guitar-pro-243811
154,You Give Love A Bad Name,Bon Jovi,https://tabs.ultimate-guitar.com/tab/bon-jovi/you-give-love-a-bad-name-guitar-pro-215706
155,Take Me Out,Franz Ferdinand,https://tabs.ultimate-guitar.com/tab/franz-ferdinand/take-me-out-guitar-pro-219344
156,Stairway To Heaven,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/stairway-to-heaven-guitar-pro-223797
157,Hot For Teacher,Van Halen,https://tabs.ultimate-guitar.com/tab/van-halen/hot-for-teacher-guitar-pro-234477
