,Title,Artist,URL,Check
144,Someone Like You,Adele,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-guitar-pro-1104389,False
145,Waka Waka This Time For Africa,Shakira,https://tabs.ultimate-guitar.com/tab/shakira/waka-waka-this-time-for-africa-guitar-pro-964770,False
146,Since U Been Gone,Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/since-u-been-gone-guitar-pro-259543,False
147,Star Wars - Duel Of The Fates,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/star-wars-duel-of-the-fates-guitar-pro-234923,False
148,And Your Bird Can Sing,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/and-your-bird-can-sing-guitar-pro-393426,False
149,Last Of The American Girls,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/last-of-the-american-girls-guitar-pro-830431,False
150,Im Gonna Find Another You,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/im-gonna-find-another-you-guitar-pro-733982,False
151,Birdland,Weather Report,https://tabs.ultimate-guitar.com/tab/weather-report/birdland-guitar-pro-234733,False
152,Down Under,Men at Work,https://tabs.ultimate-guitar.com/tab/men-at-work/down-under-guitar-pro-655424,False
153,All You Need Is Love,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/all-you-need-is-love-guitar-pro-927000,False
154,In The End,Linkin Park,https://tabs.ultimate-guitar.com/tab/linkin-park/in-the-end-guitar-pro-785109,False
155,Nocturne,TesseracT,https://tabs.ultimate-guitar.com/tab/tesseract/nocturne-guitar-pro-1250256,False
156,Purple Rain,Prince,https://tabs.ultimate-guitar.com/tab/prince/purple-rain-guitar-pro-813425,False
157,Reelin In The Years,Steely Dan,https://tabs.ultimate-guitar.com/tab/steely-dan/reelin-in-the-years-guitar-pro-232382,False
158,If It Means A Lot To You,A Day to Remember,https://tabs.ultimate-guitar.com/tab/a-day-to-remember/if-it-means-a-lot-to-you-guitar-pro-991394,False
159,The Story Of The Blues,Gary Moore,https://tabs.ultimate-guitar.com/tab/gary-moore/the-story-of-the-blues-guitar-pro-226039,False
160,Ill Be,Edwin McCain,https://tabs.ultimate-guitar.com/tab/edwin-mccain/ill-be-guitar-pro-224990,False
161,Guiding Light,Muse,https://tabs.ultimate-guitar.com/tab/muse/guiding-light-guitar-pro-873367,False
162,Piccola Stella Senza Cielo,Ligabue,https://tabs.ultimate-guitar.com/tab/ligabue/piccola-stella-senza-cielo-guitar-pro-617917,False
163,Someone Like You,Adele,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-guitar-pro-1104919,False
164,Boulevard Of Broken Dreams,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-guitar-pro-474632,False
165,Holding Back The Years,Simply Red,https://tabs.ultimate-guitar.com/tab/simply-red/holding-back-the-years-guitar-pro-392458,False
166,Spirit In The Sky,Norman Greenbaum,https://tabs.ultimate-guitar.com/tab/norman-greenbaum/spirit-in-the-sky-guitar-pro-220381,False
167,Everybody Needs Somebody To Love,The Blues Brothers,https://tabs.ultimate-guitar.com/tab/the-blues-brothers/everybody-needs-somebody-to-love-guitar-pro-556609,False
168,Eleanor Rigby,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/eleanor-rigby-guitar-pro-573672,False
169,Junge,Die Ärzte,https://tabs.ultimate-guitar.com/tab/600387,False
170,Torn,Natalie Imbruglia,https://tabs.ultimate-guitar.com/tab/natalie-imbruglia/torn-guitar-pro-221612,False
171,Django Just Got Paid,Joe Bonamassa,https://tabs.ultimate-guitar.com/tab/joe-bonamassa/django-just-got-paid-guitar-pro-782941,False
172,Cant You Hear Me Knocking,The Rolling Stones,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/cant-you-hear-me-knocking-guitar-pro-451256,False
173,Eye In The Sky,The Alan Parsons Project,https://tabs.ultimate-guitar.com/tab/the-alan-parsons-project/eye-in-the-sky-guitar-pro-213634,False
174,Undisclosed Desires,Muse,https://tabs.ultimate-guitar.com/tab/muse/undisclosed-desires-guitar-pro-870972,False
175,Howling,abingdon boys school,https://tabs.ultimate-guitar.com/tab/abingdon-boys-school/howling-guitar-pro-931055,False
176,Happy Ending,Mika,https://tabs.ultimate-guitar.com/tab/mika/happy-ending-guitar-pro-738526,False
177,Ive Just Seen A Face,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/ive-just-seen-a-face-guitar-pro-879716,False
178,Hit That,The Offspring,https://tabs.ultimate-guitar.com/tab/the-offspring/hit-that-guitar-pro-343412,False
179,Run,Snow Patrol,https://tabs.ultimate-guitar.com/tab/snow-patrol/run-guitar-pro-405042,False
180,Holy Mountain,System Of A Down,https://tabs.ultimate-guitar.com/tab/system-of-a-down/holy-mountain-guitar-pro-336620,False
181,Down Under,Men at Work,https://tabs.ultimate-guitar.com/tab/men-at-work/down-under-guitar-pro-225238,False
182,Gone Forever,Three Days Grace,https://tabs.ultimate-guitar.com/tab/three-days-grace/gone-forever-guitar-pro-778016,False
183,Thats What You Get,Paramore,https://tabs.ultimate-guitar.com/tab/paramore/thats-what-you-get-guitar-pro-1006257,False
184,No Cigar,Millencolin,https://tabs.ultimate-guitar.com/tab/millencolin/no-cigar-guitar-pro-225730,False
185,Fire,Kasabian,https://tabs.ultimate-guitar.com/tab/kasabian/fire-guitar-pro-836230,False
186,Conga,Gloria Estefan,https://tabs.ultimate-guitar.com/tab/gloria-estefan/conga-guitar-pro-502428,False
187,I Shot The Sheriff,Eric Clapton,https://tabs.ultimate-guitar.com/tab/eric-clapton/i-shot-the-sheriff-guitar-pro-255605,False
188,The Suffering,Coheed and Cambria,https://tabs.ultimate-guitar.com/tab/coheed-and-cambria/the-suffering-guitar-pro-318479,False
189,Yer Blues,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/yer-blues-guitar-pro-728431,False
190,Siguiendo La Luna,Los Fabulosos Cadillacs,https://tabs.ultimate-guitar.com/tab/los-fabulosos-cadillacs/siguiendo-la-luna-guitar-pro-738331,False
191,I Dont Care,Apocalyptica,https://tabs.ultimate-guitar.com/tab/apocalyptica/i-dont-care-guitar-pro-790916,False
192,Beauty And The Beast,Celine Dion,https://tabs.ultimate-guitar.com/tab/celine-dion/beauty-and-the-beast-guitar-pro-359986,False
193,Like An Angel,Yngwie Malmsteen,https://tabs.ultimate-guitar.com/tab/yngwie-malmsteen/like-an-angel-guitar-pro-224517,False
194,Gets Me Through,Ozzy Osbourne,https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/gets-me-through-guitar-pro-227644,False
195,Master Blaster,Stevie Wonder,https://tabs.ultimate-guitar.com/tab/stevie-wonder/master-blaster-guitar-pro-871657,False
196,Bette Davis Eyes,Kim Carnes,https://tabs.ultimate-guitar.com/tab/kim-carnes/bette-davis-eyes-guitar-pro-216280,False
197,Kołysanka Dla Nieznajomej,Perfect (Poland),https://tabs.ultimate-guitar.com/tab/803210,False
198,Down Down,Status Quo,https://tabs.ultimate-guitar.com/tab/status-quo/down-down-guitar-pro-232365,False
199,Dumpweed,Blink-182,https://tabs.ultimate-guitar.com/tab/blink-182/dumpweed-guitar-pro-215403,False
200,25 Or 6 To 4,Chicago,https://tabs.ultimate-guitar.com/tab/chicago/25-or-6-to-4-guitar-pro-216437,False
201,Dynamite,Taio Cruz,https://tabs.ultimate-guitar.com/tab/taio-cruz/dynamite-guitar-pro-1000497,False
202,Dancing In The Moonlight,Thin Lizzy,https://tabs.ultimate-guitar.com/tab/thin-lizzy/dancing-in-the-moonlight-guitar-pro-943424,False
203,Rusted From The Rain,Billy Talent,https://tabs.ultimate-guitar.com/tab/billy-talent/rusted-from-the-rain-guitar-pro-867884,False
204,Quand La Musique Est Bonne,Jean-Jacques Goldman,https://tabs.ultimate-guitar.com/tab/jean-jacques-goldman/quand-la-musique-est-bonne-guitar-pro-220200,False
205,Travelin Band,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/travelin-band-guitar-pro-217179,False
206,The Handler,Muse,https://tabs.ultimate-guitar.com/tab/muse/the-handler-guitar-pro-1742514,False
207,You Shook Me All Night Long,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/you-shook-me-all-night-long-guitar-pro-1805208,False
208,Double Vision,Foreigner,https://tabs.ultimate-guitar.com/tab/foreigner/double-vision-guitar-pro-427747,False
209,Billies Bounce,Charlie Parker,https://tabs.ultimate-guitar.com/tab/charlie-parker/billies-bounce-guitar-pro-228087,False
210,Someday,Flipsyde,https://tabs.ultimate-guitar.com/tab/flipsyde/someday-guitar-pro-408743,False
211,Abbey Road,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/abbey-road-guitar-pro-408751,False
212,Closer,Ne-Yo,https://tabs.ultimate-guitar.com/tab/ne-yo/closer-guitar-pro-711467,False
213,Goliath,The Mars Volta,https://tabs.ultimate-guitar.com/tab/the-mars-volta/goliath-guitar-pro-690985,False
214,Blue Sky,The Allman Brothers Band,https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/blue-sky-guitar-pro-327231,False
